destination,month,avg_sentiment,negative_share,n_reviews,visitors,visitor_growth,negative_share_norm,visitor_growth_norm,pressure_score,is_forecast
BOH Tea Centre (Sungei Palas Garden),2026-03,0.6445500000000001,0.1666666666666666,6.0,6.0,0.0,0.2777777777777778,0.0,13.88888888888889,False
BOH Tea Centre (Sungei Palas Garden),2026-04,0.511074074074074,0.1666666666666666,54.0,52.0,7.666666666666666,0.2777777777777778,0.132183908045977,20.49808429118774,False
BOH Tea Centre (Sungei Palas Garden),2026-05,0.4340591836734693,0.1224489795918367,49.0,49.0,-0.0576923076923077,0.2040816326530612,0.0,10.20408163265306,False
BOH Tea Centre (Sungei Palas Garden),2026-06,0.5245770833333333,0.0833333333333333,48.0,46.0,-0.0612244897959183,0.1388888888888889,0.0,6.944444444444445,False
BOH Tea Centre (Sungei Palas Garden),2026-07,0.4132363636363637,0.1363636363636363,66.0,65.0,0.4130434782608696,0.2272727272727272,0.0071214392803598,11.719708327654354,False
BOH Tea Centre (Sungei Palas Garden),2026-08,0.5075139534883721,0.0465116279069767,43.0,41.0,-0.3692307692307692,0.0775193798449612,0.0,3.875968992248062,False
BOH Tea Centre (Sungei Palas Garden),2026-09,0.636,0.0,9.0,9.0,-0.7804878048780488,0.0,0.0,0.0,False
Genting SkyWorlds Theme Park,2026-05,0.6318115384615385,0.1153846153846153,26.0,24.0,0.0,0.1923076923076923,0.0,9.615384615384617,False
Genting SkyWorlds Theme Park,2026-06,0.621468918918919,0.1081081081081081,74.0,71.0,1.9583333333333333,0.1801801801801802,0.0337643678160919,10.697227399813608,False
Genting SkyWorlds Theme Park,2026-07,0.5053487804878048,0.048780487804878,41.0,40.0,-0.4366197183098591,0.0813008130081301,0.0,4.065040650406504,False
Genting SkyWorlds Theme Park,2026-08,0.4913473684210526,0.0789473684210526,38.0,37.0,-0.0749999999999999,0.131578947368421,0.0,6.578947368421052,False
Jonker Street Night Market,2026-06,0.4290083333333334,0.0,12.0,12.0,0.0,0.0,0.0,0.0,False
Jonker Street Night Market,2026-07,0.3826311688311688,0.0779220779220779,77.0,74.0,5.166666666666667,0.1298701298701298,0.0890804597701149,10.94752948201224,False
Jonker Street Night Market,2026-08,0.3937159574468085,0.1276595744680851,94.0,91.0,0.2297297297297298,0.2127659574468085,0.0039608574091332,10.83634074279709,False
Jonker Street Night Market,2026-09,0.398375,0.125,8.0,8.0,-0.912087912087912,0.2083333333333333,0.0,10.416666666666668,False
Kellie's Castle,2026-06,0.4404,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False
Kellie's Castle,2026-07,0.6504934426229508,0.0327868852459016,61.0,59.0,58.0,0.0546448087431694,1.0,52.73224043715848,False
Kellie's Castle,2026-08,0.4851394736842105,0.0657894736842105,152.0,148.0,1.5084745762711864,0.1096491228070175,0.0260081823495032,6.782865257826037,False
Kellie's Castle,2026-09,0.5233652173913044,0.0,23.0,23.0,-0.8445945945945946,0.0,0.0,0.0,False
Langkawi Skybridge Cable Car,2026-06,0.3145666666666666,0.1666666666666666,6.0,6.0,0.0,0.2777777777777778,0.0,13.88888888888889,False
Langkawi Skybridge Cable Car,2026-07,0.2941743902439024,0.1585365853658536,82.0,80.0,12.333333333333334,0.2642276422764227,0.2126436781609195,23.843566021867115,False
Langkawi Skybridge Cable Car,2026-08,0.4198214285714286,0.1607142857142857,112.0,109.0,0.3625,0.2678571428571429,0.00625,13.705357142857144,False
Langkawi Skybridge Cable Car,2026-09,0.5743222222222222,0.0,9.0,9.0,-0.9174311926605504,0.0,0.0,0.0,False
